id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
39,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
40,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
41,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
44,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
45,42 Draconis b,296,3.88 Jupiters,4.8262,2008
46,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
47,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
48,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
49,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
50,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
54,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
65,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
66,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
69,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
70,42 Draconis b,296,3.88 Jupiters,4.8262,2008
71,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
72,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
73,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
74,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
75,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
79,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2M0437 b,419,4 Jupiters,16.186,2021
87,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
90,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
91,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
97,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
99,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
100,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
101,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
102,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
103,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
104,16 Cygni B b,69,1.78 Jupiters,6.215,1996
105,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
106,18 Delphini b,249,10.3 Jupiters,5.51048,2008
107,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
108,24 Bootis b,313,0.91 Jupiters,5.59,2018
109,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
110,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
111,2M0437 b,419,4 Jupiters,16.186,2021
112,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
113,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
114,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
115,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
116,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
117,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
118,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
119,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
120,42 Draconis b,296,3.88 Jupiters,4.8262,2008
121,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
122,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
123,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
124,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
125,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
126,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
127,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
128,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
129,16 Cygni B b,69,1.78 Jupiters,6.215,1996
130,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
131,18 Delphini b,249,10.3 Jupiters,5.51048,2008
132,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
133,24 Bootis b,313,0.91 Jupiters,5.59,2018
134,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
135,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
136,2M0437 b,419,4 Jupiters,16.186,2021
137,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
138,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
139,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
140,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
141,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
142,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
143,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
144,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
145,42 Draconis b,296,3.88 Jupiters,4.8262,2008
146,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
147,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
148,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
149,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
150,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
151,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
152,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
153,14 Herculis b,58,8.13881 Jupiters,6.61935,2002
154,16 Cygni B b,69,1.78 Jupiters,6.215,1996
155,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
156,18 Delphini b,249,10.3 Jupiters,5.51048,2008
157,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
158,24 Bootis b,313,0.91 Jupiters,5.59,2018
159,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
160,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
161,2M0437 b,419,4 Jupiters,16.186,2021
162,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
163,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
164,2MASS J02192210-3925225 b,131,13.9 Jupiters,,2015
165,2MASS J04414489+2301513 b,393,7.5 Jupiters,,2010
166,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
167,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
168,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
169,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
170,42 Draconis b,296,3.88 Jupiters,4.8262,2008
171,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
172,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
173,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
174,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
175,51 Eridani b,97,2 Jupiters,5.21149,2015
176,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
177,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
178,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
179,55 Cancri d,41,3.878 Jupiters,5.95084,2002
180,55 Cancri e,41,7.99 Earths,5.95084,2004
181,55 Cancri f,41,0.141 Jupiters,5.95084,2007
182,61 Virginis b,28,5.1 Earths,4.6955,2009
183,61 Virginis c,28,18.2 Earths,4.6955,2009
184,61 Virginis d,28,22.9 Earths,4.6955,2009
185,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
186,70 Virginis b,58,7.49 Jupiters,4.96808,1996
187,75 Ceti b,271,3 Jupiters,5.3532,2012
188,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
189,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
190,81 Ceti b,330,5.3 Jupiters,5.64307,2008
191,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
192,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
193,AB Aurigae b,529,9 Jupiters,7.076,2022
194,AB Pictoris b,163,13.5 Jupiters,9.13,2005
195,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
196,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
197,AU Microscopii b,32,20.12 Earths,8.81,2020
198,AU Microscopii c,32,9.6 Earths,8.81,2021
199,b Centauri AB b,320,10.9 Jupiters,4.01,2021
200,51 Eridani b,97,2 Jupiters,5.21149,2015
201,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
202,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
203,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
204,55 Cancri d,41,3.878 Jupiters,5.95084,2002
205,55 Cancri e,41,7.99 Earths,5.95084,2004
206,55 Cancri f,41,0.141 Jupiters,5.95084,2007
207,61 Virginis b,28,5.1 Earths,4.6955,2009
208,61 Virginis c,28,18.2 Earths,4.6955,2009
209,61 Virginis d,28,22.9 Earths,4.6955,2009
210,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
211,70 Virginis b,58,7.49 Jupiters,4.96808,1996
212,75 Ceti b,271,3 Jupiters,5.3532,2012
213,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
214,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
215,81 Ceti b,330,5.3 Jupiters,5.64307,2008
216,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
217,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
218,AB Aurigae b,529,9 Jupiters,7.076,2022
219,AB Pictoris b,163,13.5 Jupiters,9.13,2005
220,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
221,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
222,AU Microscopii b,32,20.12 Earths,8.81,2020
223,AU Microscopii c,32,9.6 Earths,8.81,2021
224,b Centauri AB b,320,10.9 Jupiters,4.01,2021
225,51 Eridani b,97,2 Jupiters,5.21149,2015
226,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
227,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
228,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
229,55 Cancri d,41,3.878 Jupiters,5.95084,2002
230,55 Cancri e,41,7.99 Earths,5.95084,2004
231,55 Cancri f,41,0.141 Jupiters,5.95084,2007
232,61 Virginis b,28,5.1 Earths,4.6955,2009
233,61 Virginis c,28,18.2 Earths,4.6955,2009
234,61 Virginis d,28,22.9 Earths,4.6955,2009
235,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
236,70 Virginis b,58,7.49 Jupiters,4.96808,1996
237,75 Ceti b,271,3 Jupiters,5.3532,2012
238,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
239,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
240,81 Ceti b,330,5.3 Jupiters,5.64307,2008
241,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
242,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
243,AB Aurigae b,529,9 Jupiters,7.076,2022
244,AB Pictoris b,163,13.5 Jupiters,9.13,2005
245,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
246,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
247,AU Microscopii b,32,20.12 Earths,8.81,2020
248,AU Microscopii c,32,9.6 Earths,8.81,2021
249,b Centauri AB b,320,10.9 Jupiters,4.01,2021
